State,Kamala Harris (%),Donald Trump (%)
Alabama,34.1,64.6
Alaska,40.9,55.1
Arizona,46.7,52.2
Arkansas,33.5,64.2
California,58.7,38.2
Colorado,54.2,43.1
Connecticut,56.4,41.9
Delaware,56.6,41.9
Washington D.C.,90.2,6.5
Florida,42.9,56.0
Georgia,48.5,50.7
Hawaii,60.6,37.5
Idaho,30.4,66.9
Illinois,54.1,44.3
Indiana,39.5,58.7
Iowa,42.6,55.8
Kansas,41.0,57.2
Kentucky,33.9,64.6
Louisiana,38.2,60.2
Maine,52.3,45.2
Maryland,62.1,35.3
Massachusetts,60.9,36.4
Michigan,48.3,49.7
Minnesota,51.1,46.9
Mississippi,37.3,61.3
Missouri,40.0,58.5
Montana,38.3,58.1
Nebraska,38.9,59.8
Nevada,47.5,50.6
New Hampshire,50.7,47.9
New Jersey,51.6,46.1
New Mexico,51.8,45.9
New York,55.6,43.9
North Carolina,47.7,51.0
North Dakota,30.6,67.2
Ohio,43.8,55.2
Oklahoma,31.9,66.2
Oregon,55.1,41.2
Pennsylvania,48.6,50.4
Rhode Island,55.5,42.0
South Carolina,40.4,58.2
South Dakota,34.2,63.4
Tennessee,34.4,64.1
Texas,42.4,56.2
Utah,37.8,59.3
Vermont,63.8,32.3
Virginia,51.7,46.2
Washington,57.8,39.1
West Virginia,28.1,70.0
Wisconsin,48.8,49.6
Wyoming,25.8,71.6
