State,Population
Maine,44.8
New Hampshire,43.4
Vermont,43.4
West Virginia,42.9
Florida,42.8
Delaware,41.9
Connecticut,41.3
Hawaii,41.3
Pennsylvania,41.1
Rhode Island,40.8
Oregon,40.6
Wisconsin,40.6
Montana,40.5
Michigan,40.4
New Jersey,40.4
South Carolina,40.4
Massachusetts,40.3
New York,40.1
Ohio,39.8
Maryland,39.7
Wyoming,39.7
New Mexico,39.6
Alabama,39.5
Illinois,39.4
Kentucky,39.4
Missouri,39.3
Nevada,39.3
North Carolina,39.3
Arizona,39.2
Virginia,39.2
Minnesota,39.1
Tennessee,39.0
Iowa,38.9
Arkansas,38.7
Mississippi,38.7
Washington,38.5
Louisiana,38.4
California,38.2
Indiana,38.2
South Dakota,38.2
Colorado,37.9
Georgia,37.7
Kansas,37.7
Idaho,37.6
Nebraska,37.4
Oklahoma,37.2
Alaska,36.1
North Dakota,36.0
Texas,35.7
District of Columbia,34.9
Utah,32.3
